"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[W]"     
          0,           0,         131,      -9.730415422,      -9.890575357,      -9.928361105,      -9.153859218
          0,           0,         132,      -9.727891468,      -9.890026871,      -9.926691524,       -9.14747631
          0,           0,         133,      -9.725236742,      -9.889316397,      -9.924916004,      -9.141701543
          0,           0,         134,      -9.722588316,      -9.888443195,      -9.923039805,      -9.136754318
          0,           0,         135,      -9.720073487,      -9.887419567,      -9.921079176,      -9.132771586
          0,           0,         136,      -9.717803964,      -9.886266932,      -9.919056036,      -9.129837989
          0,           0,         137,      -9.715871604,      -9.885012073,         -9.916995,      -9.128000253
          0,           0,         138,      -9.714443355,      -9.883647427,       -9.91488838,      -9.127255069
          0,           0,         139,      -9.714021771,      -9.882007408,      -9.912553185,      -9.129810934
          0,           0,         140,      -9.714598741,      -9.880261003,      -9.910207691,      -9.135520526
          0,           0,         141,      -9.715964888,      -9.878625694,      -9.908039892,      -9.143162296
          0,           0,         142,      -9.717840789,      -9.877222179,      -9.906137004,      -9.149780664
          0,           0,         143,      -9.719952531,      -9.876085843,      -9.904519853,      -9.154681002
          0,           0,         144,      -9.722070055,      -9.875200996,      -9.903169916,      -9.159956916
          0,           0,         145,      -9.724014436,      -9.874529736,      -9.902050442,      -9.165111117
          0,           0,         146,      -9.725652937,      -9.874027875,        -9.9011185,      -9.169722668
          0,           0,         147,      -9.726891817,      -9.873653351,      -9.900331597,      -9.173468708
          0,           0,         148,      -9.727671313,      -9.873367216,      -9.899648063,      -9.176137978
          0,           0,         149,      -9.727962534,      -9.873132907,      -9.899027107,      -9.177630399
          0,           0,         150,      -9.727768025,      -9.872914606,      -9.898428318,      -9.175297865
          0,           0,         151,      -9.727123399,      -9.872677908,      -9.897812864,      -9.171872474
          0,           0,         152,      -9.726097151,      -9.872391417,      -9.897145993,      -9.167823845
          0,           0,         153,      -9.724784381,      -9.872028538,      -9.896398574,      -9.163560181
          0,           0,         154,      -9.723296501,       -9.87157101,      -9.895551523,      -9.159449184
          0,           0,         155,      -9.721751321,      -9.871010286,      -9.894596613,       -9.15579597
          0,           0,         156,      -9.720417466,      -9.870316777,       -9.89350599,      -9.152860423
          0,           0,         157,      -9.719761757,      -9.869250119,      -9.891982128,      -9.153557842
          0,           0,         158,      -9.719456837,      -9.868265175,       -9.89061398,      -9.155368046
          0,           0,         159,      -9.719471956,      -9.867346751,      -9.889321905,      -9.157644164
          0,           0,         160,      -9.719699503,      -9.866525033,      -9.888144099,      -9.160062315
          0,           0,         161,      -9.720057846,      -9.865793405,      -9.887073759,      -9.162418113
          0,           0,         162,      -9.720482244,      -9.865141028,      -9.886100804,      -9.164591671
          0,           0,         163,      -9.720924168,      -9.864555074,      -9.885212405,      -9.166508101
          0,           0,         164,      -9.721349041,      -9.864022463,      -9.884394705,      -9.168132547
          0,           0,         165,        -9.7217335,      -9.863531488,      -9.883634678,      -9.169459436
          0,           0,         166,      -9.722062929,      -9.863072032,      -9.882920591,      -9.170505659
          0,           0,         167,      -9.722329818,      -9.862635672,      -9.882242256,       -9.17130066
          0,           0,         168,      -9.722532699,      -9.862215419,      -9.881590824,      -9.171883515
          0,           0,         169,      -9.722674743,      -9.861805827,      -9.880959086,      -9.172297446
          0,           0,         170,      -9.722762224,      -9.861402919,      -9.880341556,      -9.172584877
          0,           0,         171,      -9.722803742,      -9.861003829,      -9.879734027,      -9.172786386
          0,           0,         172,      -9.722809152,      -9.860606684,      -9.879133451,      -9.172940828
          0,           0,         173,      -9.722787632,      -9.860211188,      -9.878538881,      -9.173073675
          0,           0,         174,       -9.72274831,      -9.859817266,      -9.877949584,       -9.17320624
          0,           0,         175,      -9.722699247,      -9.859425398,      -9.877365641,      -9.173355147
          0,           0,         176,      -9.722646996,      -9.859036544,      -9.876787875,      -9.173529647
          0,           0,         177,      -9.722596621,      -9.858651824,      -9.876217316,      -9.173733606
          0,           0,         178,       -9.72255164,      -9.858272411,      -9.875655203,      -9.173966883
          0,           0,         179,      -9.722514239,       -9.85789937,      -9.875102704,      -9.174226526
          0,           0,         180,      -9.722485495,      -9.857533565,       -9.87456086,      -9.174508028
          0,           0,         181,      -9.722465567,      -9.857175702,      -9.874030517,      -9.174806365
          0,           0,         182,      -9.722453841,      -9.856826385,      -9.873512396,      -9.175115206
          0,           0,         183,      -9.722449222,      -9.856485958,      -9.873006955,      -9.175428148
          0,           0,         184,      -9.722450357,      -9.856154564,      -9.872514406,      -9.175739708
          0,           0,         185,      -9.722455781,      -9.855832182,      -9.872034756,      -9.176045392
          0,           0,         186,      -9.722464095,      -9.855518651,      -9.871567818,      -9.176341773
          0,           0,         187,      -9.722474045,       -9.85521372,      -9.871113303,      -9.176626286
          0,           0,         188,      -9.722484541,      -9.854917086,      -9.870670809,      -9.176897565
          0,           0,         189,      -9.722494615,      -9.854628439,      -9.870239943,      -9.177154215
          0,           0,         190,      -9.722503602,        -9.8543474,      -9.869820201,      -9.177395834
          0,           0,         191,      -9.722511061,      -9.854073602,       -9.86941107,      -9.177623328
          0,           0,         192,      -9.722516713,       -9.85380671,      -9.869012076,      -9.177837433
          0,           0,         193,      -9.722520422,      -9.853546412,      -9.868622758,      -9.178039196
          0,           0,         194,      -9.722522194,      -9.853292422,      -9.868242685,      -9.178229774
          0,           0,         195,       -9.72252218,      -9.853044469,      -9.867871454,      -9.178410407
          0,           0,         196,      -9.722520573,      -9.852802328,       -9.86750872,      -9.178582235
          0,           0,         197,      -9.722517615,      -9.852565803,      -9.867154173,      -9.178746284
          0,           0,         198,      -9.722513552,      -9.852334725,      -9.866807549,      -9.178903475
